game_name,persona,preference,reason
Dead by Daylight,1_purchase_decider,A,"A는 친구와 할 때의 장점/솔로 문제/매칭·커뮤니티·버그·밸런스·유료 요소 같은 구매 리스크를 함께 정리"
Clair Obscur: Expedition 33,1_purchase_decider,A,"감동 스토리·턴제 전투 매력 + 난이도·미니맵 부재·엔딩 불만까지 제시"
Overwatch 2,1_purchase_decider,A,"게임플레이 재미 + 매칭·밸런스·과금·이벤트 보상 불만을 명확히"
Hitman World of Assassination,1_purchase_decider,A,"자유도·재플레이 가치 + 복잡한 구매 방식·제한된 기본 콘텐츠·DLC·충돌"
Street Fighter 6,1_purchase_decider,A,"온라인·싱글·입문 접근성·DLC 가격·업데이트·밸런스 패치 문제 종합"
The Witcher 3: Wild Hunt,1_purchase_decider,A,"스토리·캐릭터·선택지·DLC·100시간+ 플레이타임과 전투·퀘스트 단점"
A Plague Tale: Innocence,1_purchase_decider,A,"배경·장르·스토리 매력 + 반복 플레이·버그 가능성"
Balatro,1_purchase_decider,B,"중독성·덱빌딩·운/전략 비중 + 한글화 부족·창작마당 미지원·콘텐츠 양 아쉬움"
Death Stranding,1_purchase_decider,A,"배송 게임플레이·긴 컷신·반복성·느린 호흡·독특한 분위기 등 호불호 요소"
Dragon Age: The Veilguard,1_purchase_decider,A,"전작 팬 실망 가능성·스토리/대화/선택지/전투 장단점·신구 유저 반응 차이"
Star Wars Jedi: Survivor,1_purchase_decider,A,"전투·스토리 장점 + 최적화·버그·프레임드랍·EA 런처·오프라인 모드 문제, 보류 판단까지"
Dave the Diver,1_purchase_decider,A,"탐험·낚시·초밥집 핵심 루프 + 반복감·과한 미니게임/퀘스트 문제"
TEKKEN 8,1_purchase_decider,A,"그래픽·액션성 + 밸런스·DLC 가격·수익화·네트워크 문제"
Forza Horizon 5,1_purchase_decider,A,"오픈월드 레이싱·수집/커스텀·그래픽/물리 + 로그인·진행 시스템·쉬운 보상 구조"
Monster Hunter Rise,1_purchase_decider,B,"빠른 속도·라이트 플레이에 맞고, 무게감 타격감 원하면 안 맞을 수 있음을 구체적으로"
Star Wars Jedi: Fallen Order,1_purchase_decider,A,"스토리·광선검·그래픽 + 길찾기·퍼즐·빠른이동 부재·EA 런처 문제"
God of War Ragnarök,1_purchase_decider,A,"전작 계승·스토리/전투 + 퍼즐/특정 파트 지루함·PC 최적화·PSN 로그인"
Dragon Age: Inquisition,1_purchase_decider,A,"방대한 오픈월드·스토리/캐릭터·클래스·전투 + 버그·컨트롤 문제"
Battlefield 2042,1_purchase_decider,A,"출시 초기 문제·이후 개선·서버/매칭/버그·저가 가치·전통 BF와의 차이"
The Outer Worlds,1_purchase_decider,A,"장점/단점/평균 평가/추천 대상/주의사항 구분, 짧은 플레이타임·제한 오픈월드 감수 판단"
Dead by Daylight,2_specificity_seeker,B,"퍽 획득·유료 캐릭터·레이스 추천·수리 중 심장 소리·핵/버그 등 체감 요소 구체"
Clair Obscur: Expedition 33,2_specificity_seeker,A,"턴제 전투·미니맵 부재·탐험 도구 부족·엔딩 불만·후반부에야 흥미로워짐까지"
Overwatch 2,2_specificity_seeker,A,"10주년 이벤트 보상·중국 서버 보상 차이·매칭/밸런스/과금·5v5 전환·신규 영웅"
Hitman World of Assassination,2_specificity_seeker,A,"암살 방식·무기·자유도·구매 방식·온라인 요구·프리랜서 모드 구조"
